,0
80,https://www.yelp.com/biz/jt-restaurant-san-francisco?osq=Restaurants
81,https://www.yelp.com/biz/wok-shop-cafe-san-francisco?osq=Restaurants
82,https://www.yelp.com/biz/kusina-ni-tess-san-francisco?osq=Restaurants
83,https://www.yelp.com/biz/dapper-dog-san-francisco-5?osq=Restaurants
84,https://www.yelp.com/biz/pho-tan-hoa-san-francisco?osq=Restaurants
85,https://www.yelp.com/biz/little-vietnam-cafe-san-francisco?osq=Restaurants
86,https://www.yelp.com/biz/dim-sum-bistro-san-francisco?osq=Restaurants
87,https://www.yelp.com/biz/papalote-mexican-grill-san-francisco-2?osq=Restaurants
88,https://www.yelp.com/biz/sams-san-francisco?osq=Restaurants
89,https://www.yelp.com/biz/belly-good-cafe-and-crepes-san-francisco?osq=Restaurants
90,https://www.yelp.com/biz/fog-harbor-fish-house-san-francisco-2?osq=Restaurants
91,https://www.yelp.com/biz/marufuku-ramen-sf-san-francisco?osq=Restaurants
92,https://www.yelp.com/biz/um-ma-san-francisco-3?osq=Restaurants
93,https://www.yelp.com/biz/farmhouse-kitchen-thai-cuisine-san-francisco?osq=Restaurants
94,https://www.yelp.com/biz/voodoo-love-san-francisco?osq=Restaurants
95,https://www.yelp.com/biz/beretta-san-francisco?osq=Restaurants
96,https://www.yelp.com/biz/lim%C3%B3n-rotisserie-san-francisco-3?osq=Restaurants
97,https://www.yelp.com/biz/burma-superstar-san-francisco-2?osq=Restaurants
98,https://www.yelp.com/biz/inovino-san-francisco?osq=Restaurants
99,https://www.yelp.com/biz/mamo-san-francisco?osq=Restaurants
100,https://www.yelp.com/biz/suppenk%C3%BCche-san-francisco-2?osq=Restaurants
101,https://www.yelp.com/biz/lol%C3%B3-san-francisco-4?osq=Restaurants
102,https://www.yelp.com/biz/the-front-porch-san-francisco?osq=Restaurants
103,https://www.yelp.com/biz/tuba-authentic-turkish-restaurant-san-francisco?osq=Restaurants
104,https://www.yelp.com/biz/daeho-kalbijjim-and-beef-soup-san-francisco-9?osq=Restaurants
105,https://www.yelp.com/biz/delarosa-san-francisco?osq=Restaurants
106,https://www.yelp.com/biz/nara-restaurant-and-sake-bar-san-francisco?osq=Restaurants
107,https://www.yelp.com/biz/tropisueno-san-francisco-8?osq=Restaurants
