,0
79,https://www.yelp.com/biz/sri-venkatesh-bhavan-pleasanton?osq=Restaurants
80,https://www.yelp.com/biz/vmware-cafeteria-palo-alto?osq=Restaurants
81,https://www.yelp.com/biz/millennium-oakland?osq=Restaurants
82,https://www.yelp.com/biz/greens-restaurant-san-francisco-5?osq=Restaurants
83,https://www.yelp.com/biz/pizzanista-los-angeles?osq=Restaurants
84,https://www.yelp.com/biz/veggie-house-los-angeles-2?osq=Restaurants
85,https://www.yelp.com/biz/lorys-restaurant-los-angeles?osq=Restaurants
86,https://www.yelp.com/biz/india-sweet-house-los-angeles?osq=Restaurants
87,https://www.yelp.com/biz/kabob-bowl-los-angeles-4?osq=Restaurants
88,https://www.yelp.com/biz/govindas-natural-food-restaurant-los-angeles-3?osq=Restaurants
89,https://www.yelp.com/biz/the-frankenstand-los-angeles?osq=Restaurants
90,https://www.yelp.com/biz/daves-gourmet-korean-food-los-angeles?osq=Restaurants
91,https://www.yelp.com/biz/melrose-bite-los-angeles-3?osq=Restaurants
92,https://www.yelp.com/biz/pbj-la-los-angeles-2?osq=Restaurants
93,https://www.yelp.com/biz/samosa-house-east-culver-city?osq=Restaurants
94,https://www.yelp.com/biz/india-sweets-and-spices-los-angeles?osq=Restaurants
95,https://www.yelp.com/biz/samosa-house-and-bharat-bazaar-culver-city?osq=Restaurants
96,https://www.yelp.com/biz/leonors-mexican-vegetarian-restaurant-studio-city?osq=Restaurants
97,https://www.yelp.com/biz/pizza-world-los-angeles?osq=Restaurants
98,https://www.yelp.com/biz/india-sweets-and-spices-culver-city?osq=Restaurants
99,https://www.yelp.com/biz/cocina-cilantro-glendale?osq=Restaurants
100,https://www.yelp.com/biz/chop-stop-studio-city?osq=Restaurants
101,https://www.yelp.com/biz/trimana-beverly-hills?osq=Restaurants
102,https://www.yelp.com/biz/cardamom-indian-cuisine-los-angeles-3?osq=Restaurants
103,https://www.yelp.com/biz/electric-karma-los-angeles?osq=Restaurants
104,https://www.yelp.com/biz/yard-house-los-angeles?osq=Restaurants
105,https://www.yelp.com/biz/elf-caf%C3%A9-los-angeles-2?osq=Restaurants
106,https://www.yelp.com/biz/cafe-gratitude-larchmont-los-angeles-3?osq=Restaurants
107,https://www.yelp.com/biz/sugar-taco-los-angeles-2?osq=Restaurants
108,https://www.yelp.com/biz/forage-los-angeles?osq=Restaurants
109,https://www.yelp.com/biz/hasiba-los-angeles?osq=Restaurants
